date,user,claimedSSWar,activeDeclare,defenseEarly,defenseLive,offense,notes
5/22/2021,kevinlegend,,,,,TRUE,
5/22/2021,Deity,TRUE,,,,TRUE,
5/22/2021,Matrix,TRUE,,,,TRUE,
5/22/2021,salathyne,TRUE,,,,TRUE,
5/22/2021,North Star,TRUE,,,,TRUE,
5/22/2021,Rich,,,,,,
5/22/2021,Ivory,TRUE,,,,TRUE,
5/22/2021,Connwaer,TRUE,,,,TRUE,
5/22/2021,Rokugan,TRUE,,,,TRUE,
5/22/2021,Timelaps,,,,,TRUE,
5/22/2021,L84RCALL,,,,,TRUE,
5/22/2021,Chrysa,TRUE,,,,TRUE,
5/22/2021,Robert1307,TRUE,TRUE,,TRUE,TRUE,claimed SS about 45 min after 5/21 war; afternoon raid
5/22/2021,Zalyx,TRUE,,,TRUE,TRUE,
5/22/2021,Gandolf,,TRUE,TRUE,,,afternoon and evening raids
5/22/2021,crazydwerg,,,TRUE,,,
5/22/2021,ZenReaper,,,,,,
5/22/2021,SwordLogic,TRUE,,,,,
5/22/2021,Dragaton9,TRUE,,,,TRUE,
5/22/2021,da hoff,,,,,,
5/22/2021,Kaen,TRUE,,,,TRUE,
5/22/2021,Azule,TRUE,,,,TRUE,
5/22/2021,Ye Xiu,TRUE,,,,TRUE,
5/22/2021,Ric,,,,,TRUE,
5/22/2021,Cloud,TRUE,,,,TRUE,
5/22/2021,zebar,,,TRUE,TRUE,,
5/22/2021,Cat,TRUE,,,,TRUE,
5/22/2021,Ceadus,TRUE,,,,TRUE,
5/22/2021,Aria,TRUE,TRUE,,,TRUE,afternoon raid
5/22/2021,Tkm,,,,,,
5/22/2021,Gabriel,,,,,TRUE,
5/22/2021,Theodin,TRUE,TRUE,TRUE,,TRUE,evening raid
5/22/2021,Dorn,TRUE,,,,TRUE,threw his 13m twice way too early
5/22/2021,Yea5h2,,,,,,claimed SS about 20 min after 5/21 war
5/22/2021,Josh,TRUE,,,,TRUE,
5/22/2021,Doug,TRUE,,,,TRUE,
5/22/2021,Satanael,TRUE,,TRUE,,TRUE,
5/22/2021,Manchurian,TRUE,,,,TRUE,
5/22/2021,Suprize,,,TRUE,,,
5/22/2021,Andrés,TRUE,,,,TRUE,
5/22/2021,Dead,TRUE,TRUE,,TRUE,TRUE,evening raid
5/22/2021,bumbm92,TRUE,,,,TRUE,
5/22/2021,Livedlime,,TRUE,,,,afternoon raid
5/22/2021,John,,,,,,
5/22/2021,Elliot,,,,,,
5/22/2021,Ovi,,,,,TRUE,
5/22/2021,PharaohV,,,,,,
5/22/2021,HanziChars,,,,,,
5/22/2021,Medix,,,,,,
5/22/2021,SWP,,,,,,new
